ID	NAME	#Neighbor	Verge	Nodes
1	基隆羅斯	2	Y	2;48
2	基隆辛亥	2	Y	3;30
3	基隆敦化	3	Y	2;4;29
4	基隆和平	3	Y	3;5;29
5	基隆光復	3	Y	4;6;18
6	基隆信義	3	Y	5;7;18
7	基隆松壽	2	Y	6;8
8	基隆仁愛	3	Y	7;9;17
9	基隆忠孝	3	Y	8;10;16
10	基隆市民	3	Y	9;11;15
11	基隆八德	3	Y	10;12;14
12	基隆南京	2	Y	11;13
13	光復南京	3	Y	12;14;23
14	光復八德	4	N	11;13;15;22
15	光復市民	4	N	10;14;16;21
16	光復忠孝	4	N	9;15;17;20
17	光復仁愛	4	N	8;16;18;19
18	光復信義	4	N	5;6;17;28
19	延吉仁愛	4	N	17;18;20;27
20	延吉忠孝	4	N	16;19;21;26
21	延吉市民	4	N	15;20;22;25
22	延吉八德	3	N	14;21;24
23	敦化南京	3	Y	13;24;37
24	敦化八德	4	N	22;23;25;36
25	敦化市民	4	N	21;24;26;35
26	敦化忠孝	4	N	20;25;27;34
27	敦化仁愛	4	N	19;26;28;33
28	敦化信義	4	N	18;27;29;32
29	敦化和平	4	N	3;4;28;31
30	復興辛亥	3	N	2;31;46
31	復興和平	4	N	29;32;30;45
32	復興信義	4	N	28;33;31;44
33	復興仁愛	4	N	27;34;32;43
34	復興忠孝	4	N	26;35;33;42
35	復興市民	4	N	25;36;34;41
36	復興八德	5	N	24;37;35;39;40
37	復興南京	3	Y	23;36;38
38	建國南京	3	Y	37;39;55
39	建國長安	4	N	36;38;40;56
40	建國八德	4	N	36;39;41;59
41	建國市民	4	N	35;40;42;54
42	建國忠孝	4	N	34;41;43;53
43	建國仁愛	4	N	33;42;44;52
44	建國信義	4	N	32;43;45;51
45	建國和平	4	N	31;44;46;50
46	建國辛亥	3	N	30;45;47
47	新生辛亥	4	N	46;50;48;49
48	新生羅斯	3	Y	1;47;49
49	辛亥羅斯	3	Y	47;48;63
50	新生和平	4	N	45;51;47;62
51	新生信義	4	N	44;52;50;61
52	新生仁愛	4	N	43;53;51;60
53	新生忠孝	4	N	42;54;52;59
54	松江市民	4	N	41;55;53;58
55	松江南京	3	Y	38;54;57
56	新生長安	3	N	57;39;58
57	新生南京	3	Y	55;69;56
58	新生市民	4	N	54;56;59;68
59	金山忠孝	4	N	53;58;60;67
60	金山仁愛	4	N	52;59;61;66
61	金山信義	4	N	51;60;62;65
62	金山和平	3	N	50;61;63
63	羅斯和平	3	Y	49;62;64
64	羅斯林森	3	Y	63;75;65
65	林森信義	4	N	61;66;64;74
66	林森仁愛	4	N	60;67;65;74
67	林森忠孝	4	N	59;68;66;72
68	林森市民	4	N	58;69;67;71
69	林森南京	3	Y	57;68;70
70	中山南京	2	Y	69;71
71	中山市民	3	Y	68;70;72
72	中山忠孝	3	Y	67;71;74
74	中山仁愛	4	Y	65;66;72;75
75	中山羅斯	2	Y	63;74
